Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
Game of Thrones,(2011–2019),A,57 min,"Action, Adventure, Drama",9.3,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,1773458
Breaking Bad,(2008–2013),18,49 min,"Crime, Drama, Thriller",9.5,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,1468887
The Walking Dead,(2010– ),18+,44 min,"Drama, Horror, Thriller",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,Andrew Lincoln,Norman Reedus,Melissa McBride,Danai Gurira,854698
Friends,(1994–2004),13+,22 min,"Comedy, Romance",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc,829816
Stranger Things,(2016– ),15,51 min,"Drama, Fantasy, Horror",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour,824966
Sherlock,(2010–2017),UA,88 min,"Crime, Drama, Mystery",9.1,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,808717
The Big Bang Theory,(2007–2019),U,22 min,"Comedy, Romance",8.1,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,Johnny Galecki,Jim Parsons,Kaley Cuoco,Simon Helberg,724187
Dexter,(2006–2021),A,53 min,"Crime, Drama, Mystery",8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.",Michael C. Hall,Jennifer Carpenter,David Zayas,James Remar,647136
How I Met Your Mother,(2005–2014),15+,22 min,"Comedy, Romance",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,Josh Radnor,Jason Segel,Cobie Smulders,Neil Patrick Harris,603824
True Detective,(2014– ),A,55 min,"Crime, Drama, Mystery",9,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,500194
Lost,(2004–2010),A,44 min,"Adventure, Drama, Fantasy",8.3,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,Jorge Garcia,Josh Holloway,Yunjin Kim,Evangeline Lilly,496290
Prison Break,(2005–2017),UA,44 min,"Action, Crime, Drama",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.",Dominic Purcell,Wentworth Miller,Amaury Nolasco,Robert Knepper,477157
House of Cards,(2013–2018),16+,51 min,Drama,8.7,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,Kevin Spacey,Michel Gill,Robin Wright,Kate Mara,467371
Black Mirror,(2011– ),A,60 min,"Drama, Sci-Fi, Thriller",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones,445745
Vikings,(2013–2020),A,44 min,"Action, Adventure, Drama",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",Katheryn Winnick,Gustaf Skarsgård,Alexander Ludwig,Georgia Hirst,433717
Westworld,(2016– ),A,62 min,"Drama, Mystery, Sci-Fi",8.6,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.",Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton,428960
The Office,(2005–2013),U,22 min,Comedy,8.9,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson,415367
House M.D.,(2004–2012),UA,44 min,"Drama, Mystery",8.7,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer,415258
Arrow,(2012–2020),A,42 min,"Action, Adventure, Crime",7.5,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",Stephen Amell,Katie Cassidy,David Ramsey,Susanna Thompson,407897
Supernatural,(2005–2020),16+,44 min,"Drama, Fantasy, Horror",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.",Jared Padalecki,Jensen Ackles,Jim Beaver,Misha Collins,393142
Rick and Morty,(2013– ),16+,23 min,"Animation, Adventure, Comedy",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,376795
The Simpsons,(1989– ),U,22 min,"Animation, Comedy",8.7,The satiric adventures of a working-class family in the misfit city of Springfield.,Dan Castellaneta,Nancy Cartwright,Harry Shearer,Julie Kavner,366039
Suits,(2011–2019),13+,44 min,"Comedy, Drama",8.5,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.",Gabriel Macht,Patrick J. Adams,Meghan Markle,Sarah Rafferty,364077
